,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
51,20191027053008.098,2999.0,,,4997.0,2.0,,,2.0,,2999.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,301607.0,-276398.0,-204553.0
52,20191027053008.145,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,301607.0,-276398.0,-204553.0
53,20191027053008.192,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,301607.0,-276398.0,-204553.0
54,20191027053008.254,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
55,20191027053008.285,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,14567652.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
56,20191027053008.332,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,14567652.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
57,20191027053008.364,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
58,20191027053008.410,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
59,20191027053008.457,2999.0,,,4997.0,2.0,,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
60,20191027053008.473,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
61,20191027053008.504,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,317851.0,-290958.0,-204553.0
62,20191027053008.520,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
63,20191027053008.551,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
64,20191027053008.598,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
65,20191027053008.629,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
66,20191027053008.676,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
67,20191027053008.707,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
68,20191027053008.739,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,400.0,,,,,,,,16797.0,317851.0,-290958.0,-204553.0
69,20191027053008.785,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,400.0,,,,,,,,16797.0,332052.0,-292847.0,-204553.0
70,20191027053008.801,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,,,,,,,16797.0,332052.0,-292847.0,-204553.0
