,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
48,20191027053008.020,,,,4997.0,,,,,,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20191027053008.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301607.0,-276398.0,-204553.0
50,20191027053008.067,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20191027053008.098,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20191027053008.145,,,,,,,39.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20191027053008.192,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20191027053008.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307097.0,-284217.0,-204553.0
55,20191027053008.285,,,,,,,,,,,,,,14567652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,20191027053008.332,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20191027053008.364,,,,,,,,,,,,,,,80112600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20191027053008.410,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20191027053008.457,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20191027053008.473,,,,,,21908553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20191027053008.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317851.0,-290958.0,-204553.0
62,20191027053008.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16797.0,,,
63,20191027053008.551,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20191027053008.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,
65,20191027053008.629,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20191027053008.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,
67,20191027053008.707,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20191027053008.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,
69,20191027053008.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332052.0,-292847.0,-204553.0
70,20191027053008.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
71,20191027053008.848,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20191027053008.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,
73,20191027053008.879,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20191027053008.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,
75,20191027053008.973,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20191027053008.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
77,20191027053009.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343252.0,-292878.0,-204553.0
78,20191027053009.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
79,20191027053009.067,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20191027053009.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
81,20191027053009.098,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20191027053009.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
83,20191027053009.129,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20191027053009.176,,,,,,,,,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,
85,20191027053009.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352852.0,-292878.0,-204553.0
86,20191027053009.239,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,,
87,20191027053009.301,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20191027053009.317,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,
89,20191027053009.348,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,20191027053009.364,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,
91,20191027053009.379,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,20191027053009.395,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,
93,20191027053009.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364049.0,-292775.0,-204553.0
94,20191027053009.473,,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,
95,20191027053009.520,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20191027053009.551,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
97,20191027053009.582,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20191027053009.598,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
99,20191027053009.645,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,20191027053009.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
101,20191027053009.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376849.0,-292750.0,-204553.0
102,20191027053009.754,,,,,,,,,,,,,D09,,,C04,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
103,20191027053009.785,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,20191027053009.801,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,20191027053009.817,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,20191027053009.879,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
107,20191027053009.895,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20191027053009.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387803.0,-290682.0,-204553.0
109,20191027053009.989,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20191027053010.020,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
